,nuts118nm,admin1_code,std_dev_age_1995,native_share_1995,education_variability_1995,job_variability_1995,frac_employed_1995,median_income_1995,gini_index_1995,Lindqvist_Ostling_S1_1995,Abramowitz_Saunders_S1_1995,Duca_Saving_S1_1995,Lindqvist_Ostling_S2_1995,Abramowitz_Saunders_S2_1995,Duca_Saving_S2_1995,Lindqvist_Ostling_S3_1995,Abramowitz_Saunders_S3_1995,Duca_Saving_S3_1995,std_dev_age_2000,native_share_2000,education_variability_2000,job_variability_2000,frac_employed_2000,median_income_2000,gini_index_2000,Lindqvist_Ostling_S1_2000,Abramowitz_Saunders_S1_2000,Duca_Saving_S1_2000,Lindqvist_Ostling_S2_2000,Abramowitz_Saunders_S2_2000,Duca_Saving_S2_2000,Lindqvist_Ostling_S3_2000,Abramowitz_Saunders_S3_2000,Duca_Saving_S3_2000,std_dev_age_2004,native_share_2004,education_variability_2004,job_variability_2004,frac_employed_2004,median_income_2004,gini_index_2004,Lindqvist_Ostling_S1_2004,Abramowitz_Saunders_S1_2004,Duca_Saving_S1_2004,Lindqvist_Ostling_S2_2004,Abramowitz_Saunders_S2_2004,Duca_Saving_S2_2004,Lindqvist_Ostling_S3_2004,Abramowitz_Saunders_S3_2004,Duca_Saving_S3_2004
0,East Midlands,UK_3,18.92977228,0.946182728,399,399,0.446808511,6427.445313,0.485967897,0.84321253,0.726141079,1.39402462,1.008246091,0.852112676,1.213617,1.131365921,0.949152542,1.878866046,18.2753229,0.958918919,462,462,0.511351351,8678.311,0.449645691,0.678167048,0.582629674,0.94655508,0.880661997,0.724691358,1.41650155,1.105940287,0.926980198,1.983359262,17.47205777,0.952574526,368.5,368.5,0.51897019,10909.073,0.459948929,0.734366414,0.591111111,2.410975563,0.891563227,0.706146927,2.3050306,1.168529758,0.912781955,8.061816591
1,East of England,UK_5,18.51145673,0.953883495,411.5,411.5,0.470873786,7721.132813,0.497099252,0.85369134,0.72513089,1.004498899,0.977064269,0.828457447,0.922243,1.089602136,0.922666667,2.041536,18.77360342,0.959738847,459,459,0.503808487,9591.966,0.493657648,0.745149679,0.618991794,1.01536859,0.894472166,0.724056604,4.72281747,1.0558675,0.877068558,2.05616642,19.16218154,0.930681818,439.5,439.5,0.469318182,10939.176,0.511208644,0.678979271,0.558524173,2.233209569,0.840263867,0.697047497,1.117011744,1.013605869,0.854942234,2.416368922
2,London,UK_6,17.6508521,0.938340807,445.5,445.5,0.487668161,8279.160645,0.520353421,0.858059737,0.761138614,0.37617951,0.984580993,0.873896595,0.883788,1.188591258,0.961928934,3.195147411,18.37866549,0.923408846,463,463,0.514563107,10688.222,0.505179495,0.824210251,0.683649289,2.306835126,0.989267398,0.789473684,3.30272767,1.160024993,0.9375,5.162415745,18.06291177,0.900530504,376.5,376.5,0.4933687,12899.309,0.513331008,0.787961558,0.609090909,4.491053789,0.995649344,0.782874618,3.072199899,1.276731534,0.966101695,9.327323454
3,North East,UK_0,18.64008964,0.964622642,211.5,211.5,0.464622642,6390.706543,0.455351775,0.818050513,0.719794344,1.236751869,0.978367178,0.837270341,1.336194,0.992494098,0.95,0.161721825,18.75624293,0.974206349,251.5,251.5,0.466269841,8281.648,0.456206696,0.77002407,0.666666667,0.574462445,0.95513243,0.770089286,4.428563243,1.141374041,1.002232143,0.817068117,18.27914148,0.914357683,198,198,0.483627204,10847.169,0.460722559,0.674639454,0.600566572,0.292813939,0.882639372,0.706896552,3.1392226,1.028231549,0.89017341,1.449021837
4,North West,UK_1,18.63668226,0.955357143,559.5,559.5,0.46875,6927.100586,0.496123116,0.880075717,0.776119403,0.954487974,1.038682035,0.899287894,1.155058,1.091857089,0.967280164,1.398334591,18.88878003,0.972397476,633.5,633.5,0.495268139,9418.572,0.455935763,0.837099893,0.660854403,2.728407149,0.971479637,0.766071429,3.67451784,1.162475945,0.972172352,2.838003931,18.93573616,0.941229656,552.5,552.5,0.508137432,10917.676,0.468178835,0.781323301,0.639029323,1.963048631,0.957699449,0.750256937,5.333167937,1.201915036,0.942268041,8.28536398
5,Scotland,UK_10,18.13205098,0.934601665,420,420,0.475624257,6681.736328,0.497526678,0.874788639,0.808539945,0.540013393,0.962221,0.874471086,0.955175,1.139900431,0.988700565,1.264509535,18.18023409,0.969922658,1745,1745,0.486107133,8709.897,0.453888422,0.820432046,0.699465577,1.579434245,0.973957884,0.790967742,1.885655668,1.125558187,0.965997409,1.349256119,18.02872416,0.922805781,1418,1418,0.487134297,10570.116,0.472727212,0.719986208,0.612326044,0.853647628,0.870810583,0.710291734,2.119109396,1.14932354,0.937804878,3.620101275
6,South East,UK_7,18.15145186,0.946148093,668,668,0.504113687,7912.114746,0.494031596,0.785931486,0.677074774,0.894840024,0.919017517,0.800664452,0.520194,1.080334444,0.919233972,1.218511367,18.34275795,0.952380952,734.5,734.5,0.521768707,10013.899,0.463004738,0.646345917,0.568467802,0.430654535,0.907560777,0.744776119,1.966269122,1.095112584,0.894461078,5.264232641,18.3591977,0.931726908,622,622,0.525301205,12449.538,0.481282071,0.644165332,0.546678636,0.893705041,0.873665263,0.740236149,1.037948026,1.110174816,0.902372263,5.759078975
7,South West,UK_8,19.02661964,0.940828402,422,422,0.455621302,6339.334961,0.494527316,0.854575158,0.723178808,2.122681386,1.007488205,0.833783784,2.341026,1.048865111,0.900949796,1.723318005,19.18971966,0.958634953,483,483,0.490175801,8671.81,0.472033178,0.767578772,0.631460674,2.223927577,0.958810069,0.747428571,4.491553586,1.061933189,0.881880734,3.028364857,19.07442836,0.9511323,419,419,0.504171633,10708.486,0.495058747,0.740773912,0.603153745,2.409458363,0.931002477,0.73164219,5.83517091,0.9881169,0.847389558,2.281807419
8,Wales,UK_9,18.73423875,0.947261663,246,246,0.39959432,6077.859863,0.458941589,0.844509059,0.803203661,0.744510835,1.055018713,0.908878505,1.656677,1.016851698,1.011737089,1.629827899,18.5705389,0.959346884,1500,1500,0.410863046,8300,0.468484577,0.879591663,0.71875,2.375814495,1.044828304,0.848288973,2.144929537,1.17045772,0.983193277,3.074357983,18.95611996,0.909651669,1377.5,1377.5,0.418359942,9717.174,0.462822021,0.731958887,0.604377104,1.875371711,0.899292188,0.732817869,2.447516064,1.123195831,0.929522991,2.970019431
9,West Midlands,UK_4,18.25322501,0.966459627,402,402,0.475776398,6500,0.484509679,0.855367646,0.724657534,1.605215196,0.997035777,0.846796657,0.664775,1.051651797,0.914565826,1.975060909,18.82139308,0.971786834,478,478,0.500522466,8520.921,0.446613377,0.735306271,0.612866817,1.605844188,0.947476785,0.759302326,1.99974845,1.152402033,0.960280374,2.401548354,18.88605767,0.916111851,375,375,0.475366178,9775.497,0.496307062,0.712222192,0.600903614,1.495189096,0.938641828,0.754198473,3.291880978,1.105825872,0.901990812,5.505315506
10,Yorkshire & Humber,UK_2,18.85628809,0.967403958,429,429,0.462165308,6588.619141,0.471141046,0.810283236,0.735588972,0.855863883,0.88566554,0.830573248,0.351638,1.085663051,0.928480204,1.71702584,19.1555038,0.966463415,491.5,491.5,0.462398374,8283.303,0.458670115,0.690040138,0.595343681,1.336475016,0.906047104,0.729638009,1.573340798,1.040308018,0.887627696,3.099337074,18.77671758,0.949579832,416,416,0.489795918,10375.661,0.470570474,0.746434829,0.598923284,2.872616441,0.935680219,0.733606557,2.693323817,1.141858591,0.902872777,6.277316161
